Page;Matricule du point
1;B 441
2;B 021
3;B 387
4;B 448
5;B 388
6;B 484
7;B 328
8;B 172
9;B 354
10;B 478
11;B 500
12;B 451
13;B 458
14;B 213
15;B 306
16;B 456
17;B 469
18;B 494
19;B 041
20;B 434
21;B 049
22;B 477
23;B 223
24;B 459
25;B 442
26;B 468
27;B 364
28;B 454
29;B 445
30;B 212
31;B 467
32;B 455
33;B 461
34;B 457
35;B 463
36;B 432
37;B 058
38;B 440
39;B 433
40;B 134
41;B 436
42;B 188
43;B 498
44;B 057
45;B 196
46;B 450
47;B 444
48;B 464
49;B 446
50;B 431
51;B 201
52;B 508
53;B 014
54;B 439
55;B 460
56;B 233
57;B 481
58;B 390
59;B 465
60;B 452
61;B 495
62;B 462
63;B 276
